author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ANT Development;developer;https://www.cian.ru/sale/flat/314894284/;Москва;sale;flat;2;10;2;59.8;89700000;Дорогомилово; Братьев Фонченко;1к8;Парк Победы;Victory Park Residences
ID 108172779;real_estate_agent;https://www.cian.ru/sale/flat/315053628/;Москва;sale;flat;5;8;2;111.6;109479600;Таганский;Славянская площадь;2/5с1;Китай-город;LUMIN
VESPER;developer;https://www.cian.ru/sale/flat/308803465/;Москва;sale;flat;1;6;2;173.3;467910000;Пресненский;Патриаршие Пруды мкр;;Пушкинская;Клубный дом Левенсон
Диалог Риэлт;real_estate_agent;https://www.cian.ru/sale/flat/314283147/;Москва;sale;flat;5;5;2;60.0;13000000;Лосиноостровский;Анадырский проезд;21;Бабушкинская;
Главстрой;developer;https://www.cian.ru/sale/flat/306076627/;Москва;sale;flat;7;26;2;64.5;33128941;Филевский парк;Береговой проезд;2;Фили;Береговой-2
ID 12891703;homeowner;https://www.cian.ru/sale/flat/315747133/;Москва;sale;flat;10;18;1;32.0;13590000;Останкинский;Березовая аллея;19к1;Ботанический сад;Апарт-комплекс Легендарный квартал
PIONEER;developer;https://www.cian.ru/sale/flat/313114568/;Москва;sale;flat;3;11;2;56.2;;Даниловский;Дербеневская ;1С5;Павелецкая;"Клубный дом ""OPUS"""
GLINCOM;official_representative;https://www.cian.ru/sale/flat/313392637/;Москва;sale;flat;5;8;2;79.9;29469000;Савеловский; Верхняя Масловка;20;Петровский Парк;Verdi
Capital Group;developer;https://www.cian.ru/sale/flat/313877981/;Москва;sale;flat;11;18;2;45.8;62598031;Дорогомилово;;;Москва-Сити;Бадаевский ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/311033212/;Москва;sale;flat;9;14;2;67.0;57000000;Раменки;проспект Генерала Дорохова;39к1Б;Поклонная;Собрание клубных домов West Garden
VESPER;developer;https://www.cian.ru/sale/flat/286258299/;Москва;sale;flat;5;9;2;104.2;174388599;Тверской;1-я Тверская-Ямская ;2А;Маяковская;Vesper Tverskaya
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/315253252/;Москва;sale;flat;71;79;1;79.0;75000000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
MR Group;developer;https://www.cian.ru/sale/flat/316498997/;Москва;sale;flat;2;7;2;130.2;312480000;Тверской;Никольская ;8;Площадь Революции;Nicole
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/316634002/;Москва;sale;flat;33;41;2;72.8;68000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/311682128/;Москва;sale;flat;2;6;2;73.46;183750000;Замоскворечье;Космодамианская набережная;4/22С8;Новокузнецкая;Клубный дом Космо 4/22
ID 115893584;homeowner;https://www.cian.ru/sale/flat/317023407/;Москва;sale;flat;3;9;2;44.1;18700000;Теплый Стан; Островитянова;26К2;Коньково;
